timestamp,signal,setup,confidence,risk_reward,reason
2026-05-09 20:00:00,NO TRADE,BULLISH SETUP,0.6143866777420044,,"BUY setup detected, but R:R is only 0.48. Required R:R is greater than 2.5."
2026-05-10 00:00:00,NO TRADE,BULLISH SETUP,0.6647347211837769,,"BUY setup detected, but R:R is only 1.63. Required R:R is greater than 2.5."
2026-05-10 04:00:00,NO TRADE,BEARISH / BULLISH,0.6632288098335266,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-10 08:00:00,NO TRADE,BULLISH SETUP,0.6523224711418152,,"BUY setup detected, but R:R is only 0.29. Required R:R is greater than 2.5."
2026-05-10 12:00:00,NO TRADE,RANGE / BULLISH,0.7259360551834106,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-10 16:00:00,BUY,BULLISH STRUCTURE,0.95,3.0,Bullish structure + bullish trend + momentum confirmation + valid risk/reward.
2026-05-10 20:00:00,BUY,BULLISH STRUCTURE,0.95,3.0733925484229263,Bullish structure + bullish trend + momentum confirmation + valid risk/reward.
2026-05-11 00:00:00,NO TRADE,RANGE / BULLISH,0.5542499423027039,,Volatility model confidence is below 60%.
2026-05-11 04:00:00,NO TRADE,BULLISH / RANGE,0.5332319140434265,,Volatility model confidence is below 60%.
2026-05-11 08:00:00,NO TRADE,BEARISH / RANGE,0.5303598046302795,,Volatility model confidence is below 60%.
2026-05-11 12:00:00,NO TRADE,BULLISH / BULLISH,0.5975493788719177,,Volatility model confidence is below 60%.
2026-05-11 16:00:00,NO TRADE,RANGE / BULLISH,0.6460216641426086,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-11 20:00:00,NO TRADE,RANGE / BULLISH,0.6213700175285339,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-12 00:00:00,NO TRADE,BEARISH / BULLISH,0.6365941762924194,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-12 04:00:00,NO TRADE,BEARISH / RANGE,0.6045405864715576,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-12 08:00:00,NO TRADE,RANGE / RANGE,0.761838972568512,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-12 12:00:00,NO TRADE,RANGE / RANGE,0.7648271918296814,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-12 16:00:00,NO TRADE,BEARISH / RANGE,0.8507661819458008,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-12 20:00:00,NO TRADE,BEARISH / RANGE,0.6715193390846252,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-13 00:00:00,NO TRADE,RANGE / RANGE,0.5415462851524353,,Volatility model confidence is below 60%.
2026-05-13 04:00:00,NO TRADE,BEARISH / RANGE,0.6036564707756042,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-13 08:00:00,NO TRADE,RANGE / RANGE,0.5873369574546814,,Volatility model confidence is below 60%.
2026-05-13 12:00:00,NO TRADE,BULLISH / RANGE,0.7968657612800598,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-13 16:00:00,NO TRADE,BULLISH / RANGE,0.6629068851470947,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-13 20:00:00,NO TRADE,BEARISH / RANGE,0.56440669298172,,Volatility model confidence is below 60%.
2026-05-14 00:00:00,NO TRADE,BEARISH / BEARISH,0.5869563817977905,,Volatility model confidence is below 60%.
2026-05-14 04:00:00,NO TRADE,BEARISH / BEARISH,0.5732153058052063,,Volatility model confidence is below 60%.
2026-05-14 08:00:00,NO TRADE,RANGE / RANGE,0.7282735109329224,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-14 12:00:00,NO TRADE,RANGE / BEARISH,0.7880202531814575,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-14 16:00:00,NO TRADE,BULLISH / RANGE,0.6207243800163269,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-14 20:00:00,NO TRADE,BULLISH / RANGE,0.5537149906158447,,Volatility model confidence is below 60%.
2026-05-15 00:00:00,NO TRADE,RANGE / RANGE,0.6837071776390076,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-15 04:00:00,NO TRADE,RANGE / BULLISH,0.5239940881729126,,Volatility model confidence is below 60%.
2026-05-15 08:00:00,NO TRADE,RANGE / RANGE,0.5778295993804932,,Volatility model confidence is below 60%.
2026-05-15 12:00:00,NO TRADE,RANGE / RANGE,0.6661847829818726,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-15 16:00:00,NO TRADE,BEARISH / BEARISH,0.566601037979126,,Volatility model confidence is below 60%.
2026-05-15 20:00:00,NO TRADE,BEARISH SETUP,0.7945030927658081,,"SELL setup detected, but R:R is only 0.87. Required R:R is greater than 2.5."
2026-05-16 00:00:00,NO TRADE,RANGE / BEARISH,0.6450676918029785,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-16 04:00:00,NO TRADE,RANGE / BEARISH,0.6823703050613403,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-16 08:00:00,SELL,BEARISH STRUCTURE,0.95,3.0,Bearish structure + bearish trend + momentum confirmation + valid risk/reward.
2026-05-16 12:00:00,NO TRADE,BEARISH SETUP,0.695468544960022,,"SELL setup detected, but R:R is only 0.35. Required R:R is greater than 2.5."
2026-05-16 16:00:00,NO TRADE,BULLISH / BEARISH,0.74747633934021,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-16 20:00:00,NO TRADE,RANGE / BEARISH,0.7196025252342224,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-17 00:00:00,NO TRADE,RANGE / BEARISH,0.5005844831466675,,Volatility model confidence is below 60%.
2026-05-17 04:00:00,HOLD,BEARISH STRUCTURE,0.783251941204071,,"Bearish market structure and trend exist, but complete trade confirmation is missing."
2026-05-17 08:00:00,NO TRADE,BULLISH / BEARISH,0.6378158330917358,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-17 12:00:00,NO TRADE,BULLISH / RANGE,0.713438868522644,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-17 16:00:00,NO TRADE,BEARISH SETUP,0.7957565784454346,,"SELL setup detected, but R:R is only 0.36. Required R:R is greater than 2.5."
2026-05-17 20:00:00,NO TRADE,RANGE / RANGE,0.6232355833053589,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-18 00:00:00,NO TRADE,BULLISH / BEARISH,0.8402753472328186,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-18 04:00:00,NO TRADE,RANGE / BEARISH,0.7186549305915833,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-18 08:00:00,NO TRADE,BEARISH SETUP,0.834280788898468,,"SELL setup detected, but R:R is only 0.91. Required R:R is greater than 2.5."
2026-05-18 12:00:00,NO TRADE,RANGE / BEARISH,0.865527331829071,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-18 16:00:00,NO TRADE,BULLISH / BEARISH,0.7104741334915161,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-18 20:00:00,NO TRADE,RANGE / BEARISH,0.6952018737792969,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-19 00:00:00,NO TRADE,BULLISH / RANGE,0.6251052618026733,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-19 04:00:00,NO TRADE,RANGE / BEARISH,0.76167231798172,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-19 08:00:00,NO TRADE,BULLISH / RANGE,0.6879984140396118,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-19 12:00:00,NO TRADE,RANGE / BEARISH,0.8973610401153564,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-19 16:00:00,NO TRADE,BEARISH SETUP,0.8114282488822937,,"SELL setup detected, but R:R is only 1.60. Required R:R is greater than 2.5."
2026-05-19 20:00:00,NO TRADE,RANGE / BEARISH,0.8205989003181458,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-20 00:00:00,HOLD,BEARISH STRUCTURE,0.7269760370254517,,"Bearish market structure and trend exist, but complete trade confirmation is missing."
2026-05-20 04:00:00,HOLD,BEARISH STRUCTURE,0.6402386426925659,,"Bearish market structure and trend exist, but complete trade confirmation is missing."
2026-05-20 08:00:00,NO TRADE,BEARISH / RANGE,0.584235429763794,,Volatility model confidence is below 60%.
2026-05-20 12:00:00,NO TRADE,BULLISH / RANGE,0.7931101322174072,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-20 16:00:00,NO TRADE,RANGE / RANGE,0.7086558938026428,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-20 20:00:00,NO TRADE,RANGE / RANGE,0.6494278311729431,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-21 00:00:00,NO TRADE,RANGE / RANGE,0.6767398118972778,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-21 04:00:00,NO TRADE,RANGE / RANGE,0.5045114159584045,,Volatility model confidence is below 60%.
2026-05-21 08:00:00,NO TRADE,RANGE / RANGE,0.5479846596717834,,Volatility model confidence is below 60%.
2026-05-21 12:00:00,NO TRADE,BULLISH / RANGE,0.52372145652771,,Volatility model confidence is below 60%.
2026-05-21 16:00:00,NO TRADE,RANGE / RANGE,0.638401448726654,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-21 20:00:00,NO TRADE,RANGE / RANGE,0.7866915464401245,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-22 00:00:00,NO TRADE,BEARISH / RANGE,0.600376307964325,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-22 04:00:00,NO TRADE,RANGE / RANGE,0.6258646249771118,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-22 08:00:00,NO TRADE,BULLISH / RANGE,0.6126305460929871,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-22 12:00:00,NO TRADE,BEARISH / RANGE,0.7625876069068909,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-22 16:00:00,NO TRADE,RANGE / BEARISH,0.5788280963897705,,Volatility model confidence is below 60%.
2026-05-22 20:00:00,SELL,BEARISH STRUCTURE,0.95,3.0,Bearish structure + bearish trend + momentum confirmation + valid risk/reward.
2026-05-23 00:00:00,SELL,BEARISH STRUCTURE,0.95,3.0,Bearish structure + bearish trend + momentum confirmation + valid risk/reward.
2026-05-23 04:00:00,NO TRADE,BEARISH SETUP,0.7830581665039062,,"SELL setup detected, but R:R is only 0.58. Required R:R is greater than 2.5."
2026-05-23 08:00:00,SELL,BEARISH STRUCTURE,0.95,3.0,Bearish structure + bearish trend + momentum confirmation + valid risk/reward.
2026-05-23 12:00:00,NO TRADE,BEARISH SETUP,0.6812402009963989,,"SELL setup detected, but R:R is only 0.51. Required R:R is greater than 2.5."
2026-05-23 16:00:00,NO TRADE,BULLISH / RANGE,0.509411096572876,,Volatility model confidence is below 60%.
2026-05-23 20:00:00,NO TRADE,BULLISH / RANGE,0.5987788438796997,,Volatility model confidence is below 60%.
2026-05-24 00:00:00,NO TRADE,BULLISH / RANGE,0.7263274192810059,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-24 04:00:00,NO TRADE,RANGE / RANGE,0.6774672269821167,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-24 08:00:00,NO TRADE,RANGE / RANGE,0.6018589735031128,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-24 12:00:00,NO TRADE,BULLISH / RANGE,0.6865695714950562,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-24 16:00:00,NO TRADE,RANGE / RANGE,0.9152823686599731,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-24 20:00:00,NO TRADE,BEARISH / RANGE,0.5208254456520081,,Volatility model confidence is below 60%.
2026-05-25 00:00:00,NO TRADE,BEARISH / RANGE,0.5562137365341187,,Volatility model confidence is below 60%.
2026-05-25 04:00:00,NO TRADE,BULLISH / RANGE,0.5555018186569214,,Volatility model confidence is below 60%.
2026-05-25 08:00:00,NO TRADE,BULLISH / RANGE,0.5262063145637512,,Volatility model confidence is below 60%.
2026-05-25 12:00:00,NO TRADE,BULLISH / RANGE,0.5125428438186646,,Volatility model confidence is below 60%.
2026-05-25 16:00:00,NO TRADE,BULLISH / RANGE,0.6159067749977112,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-25 20:00:00,NO TRADE,BULLISH / RANGE,0.8019541501998901,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-26 00:00:00,NO TRADE,BEARISH / RANGE,0.5184004902839661,,Volatility model confidence is below 60%.
2026-05-26 04:00:00,NO TRADE,BEARISH / RANGE,0.7211251854896545,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-26 08:00:00,NO TRADE,BEARISH / RANGE,0.6658130288124084,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
2026-05-26 12:00:00,NO TRADE,RANGE / RANGE,0.53106290102005,,Volatility model confidence is below 60%.
2026-05-26 16:00:00,NO TRADE,BULLISH / RANGE,0.6974897980690002,,"Market structure, trend and momentum are not sufficiently aligned for a high-quality trade."
